,0,1
0,相沢忠洋らが発見した群馬県にある旧石器時代の遺跡は？,岩宿遺跡
1,相沢忠洋らが発見した岩宿遺跡は何時代の遺跡?,旧石器時代
2,約200万年前から1万年前の4度の氷河期があった時代を完新世に対して何というか？,更新世（洪積世）
3,旧石器時代に使われていた簡素な石器の総称を磨製石器に対して何石器と言うか？,打製石器
4,約2万年前に生息したと言われる来日したドイツ人学者からその名前がつけられた絶滅した象は？,ナウマン象
5,巨大な牙が特徴であるユーラシア大陸の北部に生息していたと言われる象は？,マンモス
6,岩宿遺跡を発見した中心人物は？,相沢忠洋
7,相沢忠洋らが発見した岩宿遺跡は現在の何県にある?,群馬県
8,青森県で発見された縄文時代の遺跡は？,三内丸山遺跡
9,アメリカ人モースによって東京で発見された縄文時代の貝塚は？,大森貝塚
10,縄文時代における浅く土を掘り屋根をつけた簡単な住居を何式住居という。,竪穴式住居
11,縄文時代、海岸や水辺に食べ物の残りかすなどを捨てた場所を何という。,貝塚
12,東京にある大森貝塚を発見したアメリカ人は？,モース
13,表面に縄目の文様がついている土器を作られた時代から何土器という？,縄文土器
14,三内丸山遺跡は現在の何県にある？,青森県
15,縄文時代、まじないに使われた土製の人形を何という。,土偶
16,縄文時代に使われていた打製石器に比べてより用途が増えた石器,磨製石器
17,紀元前４世紀頃から紀元後３世紀頃までの時代を何時代というか,弥生時代
18,3世紀に邪馬台国を治めた女王は誰？,卑弥呼
19,弥生時代のねずみ返しもあった高いところに作られた倉庫,高床式倉庫
20,静岡県で発見された弥生時代の遺跡は何遺跡？,登呂遺跡
21,佐賀県で発見された弥生時代の遺跡は？,吉野ヶ里遺跡
22,弥生時代の遺跡である吉野ヶ里遺跡は何県で発見された。,佐賀県
23,.弥生時代卑弥呼が統治した国は,邪馬台国
24,弥生時代の遺跡である登呂遺跡は今の何県で発見されたか？,静岡県
25,239年魏の王が卑弥呼に与えた称号は？,親魏倭王
26,卑弥呼について書かれている中国の歴史書,魏志倭人伝
27,１世紀漢に使いを送り金印を与えられた国は？,奴(な)
28,銅とすずの合金で作られた剣やほこ、鏡、どうたくなどのことを鉄器に対して何という,青銅器（ブロンズ）
29,佐賀県で発見された吉野ヶ里遺跡は何時代の遺跡である？,弥生時代
30,静岡県で発見された登呂遺跡は何時代の遺跡？,弥生時代
31,漢字や仏教を伝えた朝鮮や中国から移り住んだ人々を何というか？,渡来人
32,古墳時代中期、九州から東北南部まで支配するようになった大和国家の王のことを俗に何という？天皇の昔の呼び方でもある,大王（おおきみ）
33,古墳時代中期豪族とその一族の氏に、姓を与えて朝廷の仕事を行わせた制度を何と言うか？,氏姓制度
34,古墳のまわりに埋められた土製の人形を何というか？,はにわ
35,方形の前部と円形の後部からなる、代表的な古墳の形を何と言うか？,前方後円墳
36,推古天皇に仕えた摂政という役職についた人は？,聖徳太子(厩戸王)
37,聖徳太子(厩戸王)が制定したとされる冠位制度は？,冠位十二階
38,604年に制定したとされる日本最初の成文法は？,憲法１７条
39,聖徳太子(厩戸王)が奈良に作った世界最古（厳密には再築して最古）の木造建築は？,法隆寺
40,聖徳太子(厩戸王)が隋に送った使節団といえば？,遣隋使
41,聖徳太子(厩戸王)が607年に遣隋使として送った人物は,小野妹子
42,聖徳太子(厩戸王)が就いた天皇を補佐する役職を何という？,摂政
43,聖徳太子(厩戸王)が摂政として国政を担っていた時の天皇は,推古天皇
44,645年、蘇我氏が滅んだ一連のクーデター,大化の改新
45,大化の改新を起こした中心人物2人は？,"中大兄皇子,中臣鎌足（藤原鎌足）"
46,645年の大化の改新で滅んだ一族は何氏,蘇我氏
47,中大兄皇子は後に何天皇となった？,天智天皇
48,672年に起きた天智天皇の後継者争い,壬申の乱
49,663年、朝鮮半島における日本軍と唐・新羅連合軍との戦いは？,白村江の戦い
50,律令制で課せられた稲で徴収した税,租
51,律令制で課せられた特産物で徴収した税,調
52,律令制で課せられた布で徴収した税,庸
53,壬申の乱で勝利した天皇は?,天武天皇
54,701年の大宝律令制定の際中心となった中臣鎌足の子は？,藤原不比等
55,701年に唐の律令にならい律令政治のもとになった法律,大宝律令
56,708年鋳造された貨幣は？,和同開珎
57,683年頃に日本でつくられた銭貨。708年に発行された和同開珎より年代は古く、日本で最初の貨幣とされる。,富本銭
58,710年平城京遷都をした天皇は？,元明天皇
59,聖武天皇が建立した寺と言えば,東大寺
60,743年に制定された土地の私有を永久に許可した法律,墾田永年私財法
61,奈良時代の文化をその当時の年号をとって何と言う？,天平文化
62,大仏で有名な東大寺を建立した天皇は？,聖武天皇
63,日本律宗の開祖となり唐招提寺を建立した僧は？,鑑真
64,712年に作られた現存最古の歴史書といえば？,古事記
65,720年に作れれた最古の勅撰史書といえば？,日本書紀
66,鑑真が奈良に建立した寺は？,唐招提寺(とうしょうだいじ)
67,710年奈良に造られた都は？,平城京
68,奈良時代初期の制度で６年ごとに戸籍を改めて６歳以上の男女に口分田を与え、死ぬと返さなければいけない制度は？,班田収授法
69,北九州の防衛にあたった兵士のこと,防人(さきもり)
70,759年に成立したとされる現存している最古の和歌集は？,万葉集
71,奈良時代に作られた諸国の風土風俗産物伝説などを記した本といえば？,風土記
72,皇族、豪族の私有地私有民を廃止し、すべての土地人民を国家の所有としたことを漢字四文字で。,公地公民
73,奈良時代以降、貴族や寺社が諸国に私的に領有した土地といえば？,荘園
74,東大寺にある聖武天皇のゆかりの品や天平文化を中心とした美術品がたくさんある場所は？,正倉院
75,東大寺正倉院の建築様式は？,校倉造(あぜくらづくり)
76,794年、平安京遷都をした天皇は？,桓武天皇
77,初代征夷大将軍になった平安初期の武将は？,坂上田村麻呂
78,摂関政治をし藤原氏の全盛期。藤原頼通の父。,藤原道長
79,藤原頼通が京都の宇治に建立した寺は？,平等院鳳凰堂
80,上皇が国政をとる形態,院政
81,1086年院政を開始した上皇は？,白河上皇
82,794年京都に造られた都は？,平安京
83,平等院鳳凰堂を建立した藤原道長の息子は？,藤原頼通
84,坂上田村麻呂が東北地方遠征の際についた役職は,征夷大将軍
85,８９４年、遣唐使を廃止した人,菅原道真
86,８９４年、菅原道真が廃止した使節は？,遣唐使
87,藤原氏が、天皇に代って政治を行う摂政や関白の地位を独占した政治のこと。,摂関政治
88,奈良時代以降、貴族や寺社が諸国に私的に領有した土地,荘園
89,935年、関東地方で乱を起こした人,平将門
90,940年、瀬戸内海の海賊を率いて乱を起こした人,藤原純友
91,1051年から12年にわたる陸奥(現在の岩手県)の豪族安倍貞任らの反乱を源頼義らが平定した戦いといえば？,前九年の役
92,1083年～87年に渡る、奥羽の豪族清原氏が起こした戦乱といえば？,後三年の役
93,1156年皇位継承の際起こった乱といえば？,保元の乱
94,1159年、平清盛と源義朝の間の争いといえば？,平治の乱
95,平清盛は1167年何という役職に就いたか？,太政大臣
96,藤原清衡が現在の岩手県の平泉に建立した黄金の建物は？,中尊寺金色堂
97,平清盛が行った中国との貿易は？,日宋貿易
98,1185年、平氏が滅んだ山口県の戦いは？,壇ノ浦の戦い
99,壇ノ浦の戦いの源氏の大将は？源頼朝の弟は？,源義経
100,1167年武士で初めて太政大臣に就任した人物は？,平清盛
101,源義経の幼少期の名前といえば？,牛若丸
102,源義経に使えた武術の達人の僧といえば？,弁慶
103,天台宗の開祖は？,最澄
104,天台宗の総本山は○○山○○寺？,比叡山延暦寺
105,真言宗の開祖は？,空海
106,真言宗の総本山は○○山○○○寺？,高野山金剛峯寺
107,平安時代の中後期の日本文化,国風文化
108,日本最初の勅撰和歌集は？,古今和歌集
109,土佐日記の著者は？,紀貫之
110,源氏物語の著者は？,紫式部
111,更級日記の著者は？,菅原孝標の女
112,蜻蛉日記の著者は？,藤原道綱の母
113,平安時代の貴族邸宅の様式は？,寝殿造
114,清少納言の随筆といえば？,枕草子
115,天台宗の開祖の最澄は何大師と呼ばれた？,伝教大師
116,真言宗の開祖の空海は何大師と呼ばれた？,弘法大師
117,紫式部によって書かれた長編小説は？,源氏物語
118,枕草子を書いた人は？,清少納言
119,鎌倉幕府の初代征夷大将軍は？,源頼朝
