,0,1
0,現在日本に適用されている憲法は？,日本国憲法
1,1889年に発布され1946年まで適用されていた憲法は？,大日本帝国憲法(明治憲法)
2,日本国憲法が公布されたのは何年何月何日,1946年11月3日(文化の日)
3,日本国憲法が施行されたのは何年何月何日,1947年5月3日(憲法記念日)
4,日本国憲法が掲げた3つの原則は？,国民主権、平和主義、基本的人権の尊重
5,憲法改正に必要な衆議院・参議院の賛成数は？,各総議員の2/3以上
6,憲法において天皇は日本国と日本国民統合の何であるか？,象徴
7,日本国民が恒久の平和を望むという戦争放棄について書かれているのは憲法の前文と第何条？,第9条
8,憲法に定められた国民の三大義務は？,教育・納税・勤労
9,基本的人権の1つであり国民は平等で差別されないという権利といえば？,平等権
10,1985年成立、1986年施行された女性が働く上で差別されないという事を定めた法律といえば？,男女雇用機会均等法
11,1979年に国連で採択された女性差別による条約は？,女性差別撤廃条約
12,偏見や差別を受けた北海道の先住民といえば？,アイヌ民族
13,被差別部落の地域に住む人々への偏見や差別を何というか？,部落差別
14,戦前より日本に移り住み生活をしている朝鮮人の人やその子孫のこと,在日朝鮮人(在日韓国人)
15,職場などにおける性的ないやがらせのこと,セクハラ(セクシャル・ハラスメント)
16,職場などにおける権力を使ったいやがらせのこと,パワハラ(パワー・ハラスメント)
17,国からの制約を受けず個人として自由に行動できる権利を何というか？,自由権
18,不当に身体的な拘束を受けないという自由は？,身体の自由
19,何を考え何を信じどう表現してもよいという自由は？,精神の自由(精神活動の自由)
20,経済活動が自由に行えるという権利は？,経済活動の自由
21,国家の非宗教化という原則は？,政教分離
22,憲法21条で禁止されている、公が思想の内容を審査し必要とあれば公表を禁止することを何というか？,検閲
23,社会を行きていく上で人間の生きるための基本的人権。,社会権
24,憲法第25条にある人間らしく生きる権利。,生存権
25,憲法26条で保障されている、国民が能力に応じて等しく教育を受けることができる権利,教育を受ける権利
26,日本の教育に関する基礎的な法律,教育基本法
27,"憲法27,28条に書かれている社会権。勤労権、団結権、団体交渉権、団体行動権をまとめた権利",労働基本権
28,労働三法と呼ばれる3つの法律は,労働基準法、労働組合法、労働関係調整法
29,国が生活に困窮した人を救う(生存権を保障した)という法律は。不正受給等で問題となっている。 ,生活保護法
30,国民が政治に参加できる権利,参政権
31,国民が直接政治に参加できる制度,直接民主制
32,国民が代表者を選んでその代表者が政治に参加できる制度,間接民主制(代議制)
33,政治をする人を選ぶ権利。日本では満20歳以上の国民に与えられている,選挙権
34,選挙に立候補できる権利。,被選挙権
35,国民が国や地方に対して政治的な要求をすることができる権利,請願権
36,国民が国や地方に対して賠償請求したり権利を侵害しないように求めることができる権利,請求権
37,安全な生活環境を求めることができる権利,環境権
38,正確な情報を知るために請求することができる権利,知る権利
39,個人の生活を他人から侵されないという権利,プライバシーの権利
40,住宅の日当たりを一定時間確保できる権利,日照権
41,すべての人間が幸せを求めることができる権利,幸福追求権
